"Job Location","Title","Company","Description","link"
"Montreal, Quebec, Canada","Developpeur ORACLE","TEHORA inc.","","/textFiles/TEHORA inc. - Developpeur ORACLE.txt"
"Canada","Developpeur(euse) concepteur(rice)","Ville de Montreal","","/textFiles/Ville de Montreal - Developpeur(euse) concepteur(rice).txt"
"Canada","Developpeur Fullstack - Java","Techso","","/textFiles/Techso - Developpeur Fullstack - Java.txt"
"Canada","Developpeur(se) Full Stack","MEDFAR Solutions Cliniques","","/textFiles/MEDFAR Solutions Cliniques - Developpeur(se) Full Stack.txt"
"Canada","Concepteur Developpeur Java-Python (H-F) à Montreal","Sully Group","","/textFiles/Sully Group - Concepteur Developpeur Java-Python (H-F) à Montreal.txt"
"Canada","Developpeur de base de donnees (MySql + Vertica)","MindGeek","","/textFiles/MindGeek - Developpeur de base de donnees (MySql + Vertica).txt"
"Canada","Developpeur JAVA EE – Hybride – Montreal - Canada","Cat-Amania","","/textFiles/Cat-Amania - Developpeur JAVA EE – Hybride – Montreal - Canada.txt"
"Canada","Developpeur Full-Stack (.NET-C#)","Humanify","","/textFiles/Humanify - Developpeur Full-Stack (.NET-C#).txt"
"Canada","Developpeur","Humanify","","/textFiles/Humanify - Developpeur.txt"
"Canada","Developpeur.euse Wordpress","Focus Labs","","/textFiles/Focus Labs - Developpeur.euse Wordpress.txt"
"Canada","Developpeur APEX","TEHORA inc.","","/textFiles/TEHORA inc. - Developpeur APEX.txt"
"Canada","Developpeur Web Senior en teletravail- Web Application Engineer Remote","ClicSante","","/textFiles/ClicSante - Developpeur Web Senior en teletravail- Web Application Engineer Remote.txt"
"Canada","Developpeur Front End (Openlab)","Openmind Technologies inc","","/textFiles/Openmind Technologies inc - Developpeur Front End (Openlab).txt"
"Canada","Developpeur.euse Systeme","Moment Factory","","/textFiles/Moment Factory - Developpeur.euse Systeme.txt"
"Canada","Web Developer - Developpeur Web","FlightHub","","/textFiles/FlightHub - Web Developer - Developpeur Web.txt"
"Canada","Developpeur - developpeuse logiciel","Mirego","","/textFiles/Mirego - Developpeur - developpeuse logiciel.txt"
"Canada","Developpeur Back-end PHP","Logient","","/textFiles/Logient - Developpeur Back-end PHP.txt"
"Canada","Developpeur d’applications mobiles","MOON by Simaudio","","/textFiles/MOON by Simaudio - Developpeur d’applications mobiles.txt"
"Canada","Developpeur Back-end Senior (Java)","360.Agency","","/textFiles/360.Agency - Developpeur Back-end Senior (Java).txt"
"Canada","Developpeur Front End","CGI","","/textFiles/CGI - Developpeur Front End.txt"
"Canada","Developpeur d’applications mobiles","MOON by Simaudio","","/textFiles/MOON by Simaudio - Developpeur d’applications mobiles.txt"
"Canada","Developpeur.se junior - Junior Developer","LIDD Consultants","","/textFiles/LIDD Consultants - Developpeur.se junior - Junior Developer.txt"
"Canada","Software Developer - Developpeur logiciel - C#-C++","Genetec","","/textFiles/Genetec - Software Developer - Developpeur logiciel - C#-C++.txt"
"Canada","Developpeur Fullstack","LEDUConseils","","/textFiles/LEDUConseils - Developpeur Fullstack.txt"
"Canada",".NET Software Developer - Developpeur logiciel .NET","Genetec","","/textFiles/Genetec - .NET Software Developer - Developpeur logiciel .NET.txt"
"Montreal, Quebec, Canada","Programmeur Oracle ou .Net ( T13 )","TEHORA inc.","","/textFiles/TEHORA inc. - Programmeur Oracle ou .Net ( T13 ).txt"
"Montreal, Quebec, Canada","Programmeur . Net ( F9 )","TEHORA inc.","","/textFiles/TEHORA inc. - Programmeur . Net ( F9 ).txt"
"Montreal, Quebec, Canada","Analyste programmeur cobol","TEHORA inc.","","/textFiles/TEHORA inc. - Analyste programmeur cobol.txt"
"Montreal, Quebec, Canada","Programmeur web ( T11 )","TEHORA inc.","","/textFiles/TEHORA inc. - Programmeur web ( T11 ).txt"
"Montreal, Quebec, Canada","Programmeur Full - Stack ( F11 )","TEHORA inc.","","/textFiles/TEHORA inc. - Programmeur Full - Stack ( F11 ).txt"
"Montreal, Quebec, Canada","Junior Software Engineer","enableIT","","/textFiles/enableIT - Junior Software Engineer.txt"
"St-Georges, Quebec, Canada","Programmeur C#","Phenix Groupe Conseil","","/textFiles/Phenix Groupe Conseil - Programmeur C#.txt"
"St-Jereme, Quebec, Canada","Programmeur systemes","Maerix Inc.","","/textFiles/Maerix Inc. - Programmeur systemes.txt"
"Montreal, Quebec, Canada","Programmeur Oracle ( F10 )","TEHORA inc.","","/textFiles/TEHORA inc. - Programmeur Oracle ( F10 ).txt"
"Montreal, Quebec, Canada","Junior Software Engineer","Athena Club","","/textFiles/Athena Club - Junior Software Engineer.txt"
"Quebec, Quebec, Canada","Analyste programmeur senior","TEHORA inc.","","/textFiles/TEHORA inc. - Analyste programmeur senior.txt"
"Montreal, Quebec, Canada","Candidature Spontanee - Spontaneous Application","Gameloft Montreal","","/textFiles/Gameloft Montreal - Candidature Spontanee - Spontaneous Application.txt"
"Quebec, Quebec, Canada","Analyste programmeur intermediaire","TEHORA inc.","","/textFiles/TEHORA inc. - Analyste programmeur intermediaire.txt"
"Montreal, Quebec, Canada","Senior Software Developer (.Net and C#)","Acumatica","","/textFiles/Acumatica - Senior Software Developer (.Net and C#).txt"
"Quebec, Quebec, Canada","Programmeur systemes","Collabox - Logiciel de gestion ERP à la carte","","/textFiles/Collabox - Logiciel de gestion ERP à la carte - Programmeur systemes.txt"
"Montreal, Quebec, Canada","Developpeur Logiciel Junior","ALTEN Canada","","/textFiles/ALTEN Canada - Developpeur Logiciel Junior.txt"
"Quebec, Quebec, Canada","Analyste programmeur en geomatique intermediaire","TEHORA inc.","","/textFiles/TEHORA inc. - Analyste programmeur en geomatique intermediaire.txt"
"Montreal, Quebec, Canada","Developpeur .Net- .Net developer","TEHORA inc.","","/textFiles/TEHORA inc. - Developpeur .Net- .Net developer.txt"
"Montreal, Quebec, Canada","Programmeur.se Gameplay - Gameplay Programmer","Dougall Media","","/textFiles/Dougall Media - Programmeur.se Gameplay - Gameplay Programmer.txt"
"Quebec, Quebec, Canada","Analyste programmeur en geomatique senior","TEHORA inc.","","/textFiles/TEHORA inc. - Analyste programmeur en geomatique senior.txt"
"Montreal, Quebec, Canada","Programmeur de logiciels C++ -C++ Software Programmer Co-Op","Frostbite","","/textFiles/Frostbite - Programmeur de logiciels C++ -C++ Software Programmer Co-Op.txt"
"Montreal, Quebec, Canada","Programmeur(meuse) Logiciel - Support Applicatif (C#, C++) - oriente Jeux","PLAYMIND","","/textFiles/PLAYMIND - Programmeur(meuse) Logiciel - Support Applicatif (C#, C++) - oriente Jeux.txt"
"Loretteville, Quebec, Canada","Programmeur(euse)","Soluflex Inc.","","/textFiles/Soluflex Inc. - Programmeur(euse).txt"
"Joliette, Quebec, Canada","Programmeur (euse) analyste","GROUPE CONNEXION","","/textFiles/GROUPE CONNEXION - Programmeur (euse) analyste.txt"
"Quebec, Quebec, Canada","Programmeur(euse)","Soluflex Inc.","","/textFiles/Soluflex Inc. - Programmeur(euse).txt"
"Greater Montreal Metropolitan Area","Programmeur","Fop Consultants","","/textFiles/Fop Consultants - Programmeur.txt"
"Montreal, Quebec, Canada","Programmeur mobile IOS - ANDROID ( F12 )","TEHORA inc.","","/textFiles/TEHORA inc. - Programmeur mobile IOS - ANDROID ( F12 ).txt"
"Montreal, Quebec, Canada","Analyste-programmeur junior","ACCEO Solutions","","/textFiles/ACCEO Solutions - Analyste-programmeur junior.txt"
