Job Location,Type,Title,Company,link,LANG
Canada,web,Developpeur.euse Wordpress,Focus Labs,/textFiles/Focus Labs - Developpeur.euse Wordpress.txt,
Quebec,Web,Developpeur(euse) Full Stack,INGtech,/textFiles/INGtech - Developpeur(euse) Full Stack.txt,
Canada,Web,Developpeur(se) Full Stack,MEDFAR Solutions Cliniques,/textFiles/MEDFAR Solutions Cliniques - Developpeur(se) Full Stack.txt,
Quebec,Web,PHP - Developpeur - Plateforme de Partage Video,MindGeek,/textFiles/MindGeek - PHP - Developpeur - Plateforme de Partage Video.txt,
"Montreal, Quebec, Canada",Web,Programmeur Full - Stack ( F11 ),TEHORA inc.,/textFiles/TEHORA inc. - Programmeur Full - Stack ( F11 ).txt,
"Montreal, Quebec, Canada",Web,Programmeur web ( T11 ),TEHORA inc.,/textFiles/TEHORA inc. - Programmeur web ( T11 ).txt,
Quebec,Web,Software Developer - Developpeur logiciel - C#-Web,Genetec,/textFiles/Genetec - Software Developer - Developpeur logiciel - C#-Web.txt,
Quebec,Web,Web Developer - Developpeur Web,FlightHub,/textFiles/FlightHub - Web Developer - Developpeur Web.txt,
Quebec,Logiciel,Developpeur Python,Logient,/textFiles/Logient - Developpeur Python.txt,
Canada,Mobile,Developpeur d'aapplications mobiles,MOON by Simaudio,/textFiles/MOON by Simaudio - Developpeur d'applications mobiles.txt,
"Montreal, Quebec, Canada",Mobile,Developpeur mobile (H-F) à Montreal,Sully Group,/textFiles/Sully Group - Developpeur mobile (H-F) à Montreal.txt,
Quebec,Mobile,Mobile Developer - Developpeur Mobile,Genetec,/textFiles/Genetec - Mobile Developer - Developpeur Mobile.txt,
"Montreal, Quebec, Canada",Mobile,Programmeur mobile IOS - ANDROID ( F12 ),TEHORA inc.,/textFiles/TEHORA inc. - Programmeur mobile IOS - ANDROID ( F12 ).txt,
Quebec,Logiciel,.NET Software Developer - Developpeur logiciel .NET,Genetec,/textFiles/Genetec - .NET Software Developer - Developpeur logiciel .NET.txt,
Canada,Logiciel,Concepteur Developpeur Java-Python (H-F) Montreal,Sully Group,/textFiles/Sully Group - Concepteur Developpeur Java-Python (H-F)  Montreal.txt,
Canada,Logiciel,Developpeur - developpeuse logiciel,Mirego,/textFiles/Mirego - Developpeur - developpeuse logiciel.txt,
Quebec,Logiciel,Developpeur .NET,Transition Services Conseils,/textFiles/Transition Services Conseils - Developpeur .NET.txt,
Quebec,Logiciel,Developpeur .Net- .Net developer,TEHORA inc.,/textFiles/TEHORA inc. - Developpeur .Net- .Net developer.txt,
Quebec,Logiciel,Developpeur de logiciels Java,MindGeek,/textFiles/MindGeek - Developpeur de logiciels Java.txt,
Quebec,Logiciel,Developpeur embarque C++,Logient,/textFiles/Logient - Developpeur embarque C++.txt,
Canada,Logiciel,Developpeur Full-Stack (.NET-C#),Humanify,/textFiles/Humanify - Developpeur Full-Stack (.NET-C#).txt,
Canada,Logiciel,Developpeur Fullstack - Java,Techso,/textFiles/Techso - Developpeur Fullstack - Java.txt,
Quebec,Logiciel,Developpeur Intermediaire - Intermediate Developer,L'Atelier Animation Inc.,/textFiles/L'Atelier Animation Inc. - Developpeur Intermediaire - Intermediate Developer.txt,
Quebec,Logiciel,Developpeur logiciel - Software Developer - C#-C++,Genetec,/textFiles/Genetec - Developpeur logiciel - Software Developer - C#-C++.txt,
Quebec,Logiciel,Developpeur logiciel - Software Developer - Edge Devices,Genetec,/textFiles/Genetec - Developpeur logiciel - Software Developer - Edge Devices.txt,
Quebec,Logiciel,Developpeur Logiciel Junior,ALTEN Canada,/textFiles/ALTEN Canada - Developpeur Logiciel Junior.txt,
Quebec,Logiciel,Developpeur Progress,Astek Canada,/textFiles/Astek Canada - Developpeur Progress.txt,
Quebec,Logiciel,Developpeur.euse Java,Levio,/textFiles/Levio - Developpeur.euse Java.txt,
Quebec,Logiciel,Developpeur.euse Systeme,Moment Factory,/textFiles/Moment Factory - Developpeur.euse Systeme.txt,
Quebec,Logiciel,Developpeur(se) - programmeur,Barrette Structural,/textFiles/Barrette Structural - Developpeur(se) - programmeur.txt,
"Montreal, Quebec, Canada",Logiciel,Java Software Developer,Intrado Life & Safety,/textFiles/Intrado Life & Safety - Java Software Developer.txt,
"Montreal, Quebec, Canada",Logiciel,Programmeur . Net ( F9 ),TEHORA inc.,/textFiles/TEHORA inc. - Programmeur . Net ( F9 ).txt,
"St-Georges, Quebec, Canada",Logiciel,Programmeur C#,Phenix Groupe Conseil,/textFiles/Phenix Groupe Conseil - Programmeur C#.txt,
"Montreal, Quebec, Canada",Logiciel,Programmeur de logiciels C++ -C++ Software Programmer Co-Op,Frostbite,/textFiles/Frostbite - Programmeur de logiciels C++ -C++ Software Programmer Co-Op.txt,
"Montreal, Quebec, Canada",Logiciel,Programmeur Oracle ou .Net ( T13 ),TEHORA inc.,/textFiles/TEHORA inc. - Programmeur Oracle ou .Net ( T13 ).txt,
"St-Jereme, Quebec, Canada",Logiciel,Programmeur systemes,Maerix Inc.,/textFiles/Maerix Inc. - Programmeur systemes.txt,
"Quebec, Quebec, Canada",Logiciel,Programmeur systemes,Collabox - Logiciel de gestion ERP à la carte,/textFiles/Collabox - Logiciel de gestion ERP à la carte - Programmeur systemes.txt,
"Montreal, Quebec, Canada",Logiciel,"Programmeur(meuse) Logiciel - Support Applicatif (C#, C++) - oriente Jeux",PLAYMIND,"/textFiles/PLAYMIND - Programmeur(meuse) Logiciel - Support Applicatif (C#, C++) - oriente Jeux.txt",
"Saint-Eustache, Quebec, Canada",Logiciel,Senior Embedded Software Developer,Randstad Canada,/textFiles/Randstad Canada - Senior Embedded Software Developer.txt,
"Montreal, Quebec, Canada",Logiciel,Senior Software Developer (.Net and C#),Acumatica,/textFiles/Acumatica - Senior Software Developer (.Net and C#).txt,
"Montreal, Quebec, Canada",Logiciel,Software Developer,Maples Group,/textFiles/Maples Group - Software Developer.txt,
Quebec,Logiciel,Software Developer - Developpeur logiciel - Access Control,Genetec,/textFiles/Genetec - Software Developer - Developpeur logiciel - Access Control.txt,
Quebec,Logiciel,Software Developer - Developpeur logiciel - AutoVu,Genetec,/textFiles/Genetec - Software Developer - Developpeur logiciel - AutoVu.txt,
Quebec,Logiciel,Software Developer - Developpeur logiciel - C#-.NET,Genetec,/textFiles/Genetec - Software Developer - Developpeur logiciel - C#-.NET.txt,
Quebec,Logiciel,Software Developer - Developpeur logiciel - C#-C++,Genetec,/textFiles/Genetec - Software Developer - Developpeur logiciel - C#-C++.txt,
Quebec,Logiciel,Software Developer - Developpeur logiciel - Cloud,Genetec,/textFiles/Genetec - Software Developer - Developpeur logiciel - Cloud.txt,
Quebec,Logiciel,Software Developer - Developpeur logiciel - Cloud (AutoVu),Genetec,/textFiles/Genetec - Software Developer - Developpeur logiciel - Cloud (AutoVu).txt,
Quebec,Logiciel,Software Developer - Developpeur logiciel - Computer Vision,Genetec,/textFiles/Genetec - Software Developer - Developpeur logiciel - Computer Vision.txt,
Quebec,Logiciel,Software Developer - Developpeur logiciel - Edge OS Cloud,Genetec,/textFiles/Genetec - Software Developer - Developpeur logiciel - Edge OS Cloud.txt,
"Montreal, Quebec, Canada",Jeux,Programmeur.se Gameplay - Gameplay Programmer,Dougall Media,/textFiles/Dougall Media - Programmeur.se Gameplay - Gameplay Programmer.txt,
"Quebec, Quebec, Canada",Geomatique,Analyste programmeur en geomatique intermediaire,TEHORA inc.,/textFiles/TEHORA inc. - Analyste programmeur en geomatique intermediaire.txt,
"Quebec, Quebec, Canada",Geomatique,Analyste programmeur en geomatique senior,TEHORA inc.,/textFiles/TEHORA inc. - Analyste programmeur en geomatique senior.txt,
Quebec,Donnee,Developpeur de base de donnees (MySql + Vertica),MindGeek,/textFiles/MindGeek - Developpeur de base de donnees (MySql + Vertica).txt,
Quebec,Donnee,Developpeur ORACLE,TEHORA inc.,/textFiles/TEHORA inc. - Developpeur ORACLE.txt,
Quebec,Donnee,Developpeur Python,Vooban,/textFiles/Vooban - Developpeur Python.txt,
Quebec,Donnee,Developpeur Vertica,MindGeek,/textFiles/MindGeek - Developpeur Vertica.txt,
"Montreal, Quebec, Canada",Donnee,Programmeur Oracle ( F10 ),TEHORA inc.,/textFiles/TEHORA inc. - Programmeur Oracle ( F10 ).txt,
"Montreal, Quebec, Canada",Logiciel,Analyste programmeur cobol,TEHORA inc.,/textFiles/TEHORA inc. - Analyste programmeur cobol.txt,
"Quebec, Quebec, Canada",Logiciel,Analyste programmeur intermediaire,TEHORA inc.,/textFiles/TEHORA inc. - Analyste programmeur intermediaire.txt,
"Quebec, Quebec, Canada",Logiciel,Analyste programmeur senior,TEHORA inc.,/textFiles/TEHORA inc. - Analyste programmeur senior.txt,
"Montreal, Quebec, Canada",Logiciel,Analyste-programmeur junior,ACCEO Solutions,/textFiles/ACCEO Solutions - Analyste-programmeur junior.txt,
Canada,General,Developpeur,Humanify,/textFiles/Humanify - Developpeur.txt,
Canada,Logiciel,Developpeur JAVA EE � Hybride � Montreal - Canada,Cat-Amania,"/textFiles/Cat-Amania - Developpeur JAVA EE � Hybride , Montreal - Canada.txt",
"Montreal, Quebec, Canada",Logiciel,Developpeur.se junior - Junior Developer,LIDD Consultants,/textFiles/LIDD Consultants - Developpeur.se junior - Junior Developer.txt,
Canada,Web,Developpeur(euse) concepteur(rice),Ville de Montreal,/textFiles/Ville de Montreal - Developpeur(euse) concepteur(rice).txt,
"Montreal, Quebec, Canada",General,DevOps Engineer,Experience AI Solutions,/textFiles/Experience AI Solutions - DevOps Engineer.txt,
"Montreal, Quebec, Canada",Web,Junior Software Engineer,enableIT,/textFiles/enableIT - Junior Software Engineer.txt,
"Montreal, Quebec, Canada",Web,Junior Software Engineer,Athena Club,/textFiles/Athena Club - Junior Software Engineer.txt,
Greater Montreal Metropolitan Area,General,Programmeur,Fop Consultants,/textFiles/Fop Consultants - Programmeur.txt,
"Joliette, Quebec, Canada",General,Programmeur (euse) analyste,GROUPE CONNEXION,/textFiles/GROUPE CONNEXION - Programmeur (euse) analyste.txt,
"Loretteville, Quebec, Canada",Logiciel,Programmeur(euse),Soluflex Inc.,/textFiles/Soluflex Inc. - Programmeur(euse).txt,
